status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
125,1245,2.0,1535,1187,134037,1553.0,1156,3.0,7,1.0,187500.0
124,399,2.0,1535,990,14962,719.0,1322,1.0,7,2.0,259900.0
4,1228,2.5,1535,869,82700,972.0,1391,3.0,7,2.0,94900.0
125,1242,2.5,1535,1655,238031,2071.0,1856,3.0,25,2.0,30000.0
125,1245,3.0,1592,853,21593,2012.0,2934,3.0,32,2.0,443900.0
124,399,2.0,1535,990,18681,1369.0,1324,3.0,7,2.0,1550000.0
124,1128,2.0,1535,353,16220,2275.0,1325,3.0,7,1.0,525000.0
4,1228,2.5,1535,765,26686,1000.0,1161,3.0,7,2.0,169000.0
4,1129,2.0,1535,342,54969,1356.0,2033,3.0,12,2.0,170990.0
125,1245,6.0,1592,1724,236890,7362.0,1876,6.0,25,2.0,924900.0
124,1128,5.0,1535,726,185901,4410.0,2721,4.0,32,2.0,2197000.0
125,1244,7.0,1535,1111,78055,6040.0,3479,8.0,3,1.0,1925000.0
4,54,2.5,1535,1403,85208,1470.0,2836,3.0,32,2.0,199900.0
125,1245,4.0,1592,971,220553,3439.0,2446,5.0,32,2.0,500777.0
66,1175,3.0,1535,1409,100037,1859.0,3811,3.0,3,3.0,1299850.0
4,989,2.5,7,726,178012,1776.0,2681,3.0,32,2.0,229900.0
125,1241,2.0,1535,102,46455,1200.0,220,2.0,24,2.0,485000.0
4,359,2.5,1535,193,81641,2400.0,194,3.0,24,3.0,999000.0
125,1240,2.0,1535,865,242779,1405.0,3254,2.0,23,9.0,519900.0
124,399,2.0,1535,991,17014,1650.0,1331,2.0,7,2.0,396000.0
4,1208,2.5,1535,278,84086,2415.0,1004,3.0,21,2.0,375000.0
125,1242,2.0,1535,252,77994,2493.0,1491,3.0,7,1.0,525000.0
66,399,1.0,1535,734,114754,754.0,3606,1.0,3,1.0,329900.0
125,1245,5.0,1592,1069,115229,6224.0,1630,5.0,31,2.0,1495000.0
124,399,1.0,1535,726,185872,1064.0,2721,1.0,32,2.0,273000.0
4,1228,2.5,7,280,52418,1350.0,1664,3.0,31,1.0,102000.0
125,1245,2.0,1592,1721,34435,2100.0,3152,4.0,33,1.0,352000.0
73,1128,2.0,1535,1165,61384,1372.0,1262,3.0,7,2.0,99900.0
125,1245,2.5,1535,102,230009,109200.0,217,3.0,24,2.0,270000.0
125,1245,2.0,1535,750,130517,1444.0,2000,3.0,12,1.0,155000.0
125,1240,4.0,1592,1693,228950,4532.0,486,3.0,5,1.0,8095000.0
125,1244,6.0,1535,914,161653,4368.0,3324,12.0,3,2.0,1700000.0
125,1245,2.0,1535,1243,31841,1354.0,1573,3.0,7,2.0,195000.0
125,1245,2.0,1535,405,103854,1008.0,2087,4.0,17,1.0,48000.0
4,1129,1.5,1535,12,54488,1075.0,1127,3.0,9,1.0,28500.0
4,863,2.5,1535,1069,239923,0.0,1623,3.0,31,2.0,600000.0
4,818,2.5,1535,990,80119,1170.0,1328,3.0,7,2.0,499000.0
125,1245,2.0,1535,767,137287,1062.0,235,4.0,24,2.0,659000.0
66,1128,2.0,1535,714,71842,914.0,1293,3.0,7,2.0,285000.0
66,1128,4.0,1535,548,191558,3418.0,1389,3.0,7,2.0,2150000.0
125,1245,2.0,1535,474,110517,1488.0,3019,4.0,32,1.0,169950.0
125,1245,3.0,1592,280,100625,1806.0,1661,3.0,31,2.0,298700.0
124,1128,3.0,1449,1403,166445,2358.0,2850,3.0,32,1.0,424900.0
125,1245,2.0,1592,1593,32292,1456.0,1430,2.0,7,2.0,209000.0
125,1243,2.0,1535,474,72002,1344.0,3025,3.0,32,1.0,110000.0
125,1245,2.0,1535,70,67701,1000.0,1081,3.0,9,1.0,175000.0
4,1215,2.5,98,1444,206936,3190.0,4034,3.0,36,2.0,2595000.0
4,1228,2.5,1535,1378,50978,1517.0,1455,3.0,7,2.0,299999.0
125,1245,2.0,1535,1394,95193,1867.0,1451,4.0,7,1.0,774900.0
115,1129,3.0,962,333,178870,2726.0,2798,4.0,32,2.0,445000.0
4,1129,2.0,1535,1141,56523,2021.0,1545,3.0,7,1.0,265500.0
66,1128,3.0,1535,1382,100174,2632.0,3885,4.0,3,2.0,499990.0
125,1245,6.0,1592,70,214862,4276.0,1049,4.0,9,3.0,1295000.0
124,1128,1.0,1535,1593,4836,768.0,1428,3.0,7,1.0,86960.0
4,469,2.5,7,313,116997,1996.0,1850,2.0,25,3.0,140000.0
125,1240,2.0,1535,309,101883,880.0,1469,2.0,7,2.0,100000.0
